https://www.vogue.co.uk/;https://www.whowhatwear.co.uk/channel/looks;https://www.vettacapsule.com/blogs/blog/define-your-style?utm_source=pinterest&utm_medium=social;https://nl.pinterest.com/pin/349310514851411053/;https://en.islcollective.com/english-esl-worksheets/grammar/adjectives/fashion-and-style/43239;https://www.words-to-use.com/words/clothing/;https://www.harpersbazaar.com/fashion/street-style/;https://www.panaprium.com/blogs/i/fashion-styles;https://lookbook.nu/explore/styles;https://www.zalando.nl/get-the-look-dames/?style=style_all;https://marketplace.asos.com/?dp=1 https://www.asos.com/nl/dames/
Vogue;Who What Wear;Vetta (blog);Pinterest;Sketchy worksheet;Words-to-use;Harpersbazaar;Panaprium;Lookbook;Zalando (eigen omschrijvingen);Asos
Statement;Classic;Whimsical;Chic;Classy;60s-inspired;Street style;Wild West;Classy;Tijdloos;Lounge
Effortless;Minimalist;Bohemian;Polished;Funky Rock;70s-inspired;Effortless;Vintage;Lolita;Casual;Modest
Polished;Party;Vintage-inspired;Colorful;Etnic;80s-inspired;Chic;Vibrant;Hippie;Streetwear;Verantwoord
Fancy;Vibrant;French;Elegant;Girly Glam;Avant Garde;Colorful;Trendy;Sweet;Party;Sparkly
Contemporary;Casual;Sleek;Relaxed;Boho Chic;Boho;Impactful Print;Traditional;Androgynous;Sport;Retro
Chic;Elegant;California;Preppy;Trendy;Boho Chic;Youth;Beachy;Vampire;Basic;1960's
Comfortable;Statement;Relaxed;Unique;Preppy;Casual;Unique;Skater;Sophisticated;Locals;1970's
Elegant;Simple;Tailored;Effortless;Girly;Classic;Classic;Sport;Urban;Less is more;1980's
Romantic;Festive;Clean;Bold;Casual;Colorful;Abstract;Streetwear;Streetwear;Luxury;Early 1990's
Normcore;Chunky;Glam;Elavated;Punk;Comfortable;Playfull;Sexy;Pastel;Punk;Y2K/00’s
Gaudy Maximalism;Premium;Minimal;Boho;Mod;Coutoure;Modern;Rock;Comfortable;Sensualiteit;Disco
Controversial;High-street;Androgynous;Lady like;Skater;Designer;Vintage;Punk rock;Mermaid;Kleurrijk;Rare
Trendy;Ethical;Punk;Modern;Hipster;Dramatic;Sustainable;Preppy;Comfy;Uniek;
Timeless;Practical;Modern;Simple;Hobo;Elegant;Inclusivity;Nerdy - Geeky;Fantasy;Gedurfd;
Monochrome;Flashy;Comfortable;Approachable;Goth Glam;Exotic;Color;Modest;Modern;Opa-chique;
Maturity;Comfortable;Casual;Minimalistic;Romantic;Everyday;Dramatic;Modern Urban;Classic;Eclectisch;
Original;Simple;Sporty;Trend-driven;Emo;Fancy;Classic;Minimalist;Normcore;Urban;
Masculine;Chunky;Preppy;Clean;;Fashionable;Oversized;Military;Workout;Oversized;
Feminine;Festive;Romantic;Casual;;Flirty;Laid-back;Loungewear;Effortless;Kawaii;
Grungy;Iconic;Classic;Experimental;;Form-fitting;Cozy;Lagenlook ;Simple;Cozy;
Athletic;on-trend;Eclectic;Quirky;;Funky;Street-style;Kawaii;Artistic;Clean;
Minimal;Vintage;Grunge;Understated;;Loose;Monochromatic;Hip Hop;Messy;Speels;
Neutral;Retro;Tomboy;Sporty;;Masculine;Effortless;Haute Couture;Sporty;Simpel;
Sustainable;Monochromatic;Girl Next Door;Sultry;;Metallic;Practical;Grunge Rock;Preppy;Cool;
Luxurious;Sophisticated;Sexy;Sophisticated;;Minimalist;Sleek;Gothic Fashion;Sustainable;Trending;
Playful;Easy;Chic;Elegant;;Old-fashioned;Posh;Girl next door;Harajuku;Extravagant;
Contemporary;Plain;Funky;Street;;On trend;Statement;Girly;Retro;Free;
Vintage;Polish;Refined;Timeless;;Refined;Retro;Garconne;Sweet Lolita;Comfy;
Modern;Timeless;Quirky;Straightforward;;Relaxed;Comfortable;Formal;Festival;Retro;
Basic;Preppy;Architectural;Downtown;;Formal;Bold;Flamboyant;Plus size;Patronen;
Conscious-minded;Vintage-esque;Menswear-inspired;Edgy;;Simple;Luxe;Exotic;Chill;Staple;
Utilitarian;Loose-fit;Hippie;Tailored;;Slouchy;Neutral;Evening wear;Cozy;Ontspannen;
Traditional;Baggy;Free-spirited;Classic;;Sophisticated;Statement;Elegance;Metal;Urban;
Innovative;Laid-back;Rockstar;;;Spiritual;Elegant;Cosplay;Chic;Klassiek;
Mindful;Fun;Corporate;;;Sporty;;Classic;Sport;Elegant;
Non-binary;;Dressy;;;Standard;;Casual chic;Victorian;Sportief;
Simple;;Outdoorsy;;;Stylish;;Casual wear;Dandy;;
Street style;;Active;;;Textured;;Business Casual;Fitness;;
Elevated;;Athlete;;;Timeless;;Boho;Formal;;
Outdoorsy;;Nautical;;;Trendy;;Artsy;Dark;;
;;Western;;;Unique;;;Professional;;
;;Natural;;;;;;Flirty;;
;;Ladylike;;;;;;;;
;;Sophisticated;;;;;;;;
;;Avant-garde;;;;;;;;
;;Simple;;;;;;;;
;;Futuristic;;;;;;;;
;;Bright;;;;;;;;
;;Feminine;;;;;;;;
;;Bold;;;;;;;;
;;Understated;;;;;;;;
;;Elegant;;;;;;;;
;;Timeless;;;;;;;;
;;Cutting Edge;;;;;;;;
;;Fun;;;;;;;;
;;Streetwear;;;;;;;;
;;Glitzy;;;;;;;;
;;Artist;;;;;;;;
;;Layered;;;;;;;;
;;Polished;;;;;;;;
